Objects
100
,,Global Angle qbii_test:qbii_test,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm
215,0,0.003208,0.000528,0.000108,-57.853619,132.597107,30.481005
216,0,0.003196,0.000328,0.000030,-57.843864,132.593353,30.476742
217,0,0.003189,0.000197,-0.000018,-57.839714,132.591736,30.475096
218,0,0.003215,0.000119,-0.000052,-57.836018,132.590607,30.472643
219,0,0.003201,0.000051,-0.000073,-57.834438,132.591995,30.468576
220,0,0.003181,0.000287,0.000086,-57.850525,132.595108,30.473904
221,0,0.003171,0.000175,0.000003,-57.842190,132.592941,30.470329
222,0,0.003196,0.000473,0.000096,-57.850075,132.599258,30.476927
223,0,0.003212,0.000293,0.000021,-57.840645,132.596909,30.470604
224,0,0.003218,0.000177,-0.000013,-57.834831,132.593658,30.467478
225,0,0.003244,0.000091,-0.000042,-57.833813,132.593948,30.463306
226,0,0.003256,0.000100,-0.000072,-57.830112,132.593826,30.466658
227,0,0.003256,0.000051,-0.000085,-57.828758,132.593018,30.465200
228,0,0.003244,0.000331,0.000084,-57.848694,132.596161,30.470484
229,0,0.003210,0.000196,0.000017,-57.841694,132.593399,30.464851
230,0,0.003239,0.000429,0.000092,-57.849201,132.596100,30.473099
231,0,0.003223,0.000630,0.000148,-57.855923,132.599289,30.479885
232,0,0.003209,0.000659,0.000193,-57.861595,132.600098,30.482225
233,0,0.003203,0.000720,0.000234,-57.867760,132.602219,30.483437
234,0,0.003219,0.000451,0.000104,-57.852665,132.596222,30.476580
235,0,0.003210,0.000600,0.000181,-57.861271,132.598557,30.480549
236,0,0.003203,0.000379,0.000084,-57.848347,132.596130,30.474400
237,0,0.003230,0.000257,0.000002,-57.838848,132.594681,30.471359
238,0,0.003233,0.000157,-0.000027,-57.833752,132.594757,30.467812
239,0,0.003204,0.000122,-0.000040,-57.832485,132.591568,30.468117
240,0,0.003206,0.000051,-0.000071,-57.830761,132.592178,30.464136
241,0,0.003215,0.000033,-0.000078,-57.830162,132.591858,30.465605
242,0,0.003226,0.000067,-0.000088,-57.829124,132.591476,30.469851
243,0,0.003256,0.000057,-0.000105,-57.828026,132.591949,30.470678
244,0,0.003216,0.000403,0.000067,-57.846622,132.596451,30.479736
245,0,0.003208,0.000276,0.000016,-57.839176,132.594162,30.475258
246,0,0.003242,0.000473,0.000112,-57.853043,132.599243,30.478931
247,0,0.003233,0.000335,0.000022,-57.843624,132.596558,30.476822
248,0,0.003240,0.000264,-0.000048,-57.837238,132.595779,30.476593
249,0,0.003250,0.000496,0.000087,-57.854645,132.598007,30.484203
250,0,0.003255,0.000643,0.000172,-57.863384,132.599060,30.487133
251,0,0.003249,0.000415,0.000085,-57.850536,132.592834,30.480099
252,0,0.003224,0.000260,0.000012,-57.841881,132.591339,30.473566
253,0,0.003246,0.000520,0.000120,-57.855709,132.597305,30.481699
254,0,0.003236,0.000352,0.000033,-57.845413,132.596085,30.477610
255,0,0.003227,0.000206,-0.000012,-57.839390,132.593781,30.471310
256,0,0.003217,0.000162,-0.000066,-57.834476,132.593750,30.471712
257,0,0.003204,0.000420,0.000058,-57.847660,132.596756,30.476995
258,0,0.003213,0.000287,-0.000005,-57.838593,132.595230,30.474665
259,0,0.003235,0.000224,-0.000038,-57.834801,132.593491,30.472866
260,0,0.003241,0.000155,-0.000065,-57.832233,132.593155,30.473278
261,0,0.003206,0.000147,-0.000074,-57.829674,132.591446,30.474319
262,0,0.003228,0.000127,-0.000077,-57.829613,132.591370,30.471363
263,0,0.003228,0.000091,-0.000053,-57.829449,132.589890,30.469931
