Time (s),x (cm),y (cm),theta (rad)
1654213183.439154,2.314189259777777e-05,-3.990258483099751e-05,-1.2167207439225671
1654213183.483744,2.314189259777777e-05,-3.990258483099751e-05,-1.2167218671486435
1654213183.527326,2.314189259777777e-05,-3.990258483099751e-05,-1.216711583411963
1654213183.571769,2.314189259777777e-05,-3.990258483099751e-05,-1.2167234882317184
1654213183.615375,2.314189259777777e-05,-3.990258483099751e-05,-1.2167255390409717
1654213183.615743,1.4366251889441628e-05,-1.6161924577318132e-05,-1.2167301682069218
1654213183.663244,2.3141938072512858e-05,-3.990257027908228e-05,-1.2167216033748463
1654213183.666068,2.3141938072512858e-05,-3.990257027908228e-05,-1.2167069542457183
1654213183.711321,2.3141938072512858e-05,-3.990257027908228e-05,-1.2167188590656661
1654213183.755701,2.3141938072512858e-05,-3.990257027908228e-05,-1.2167188590656661
1654213183.799258,2.3141938072512858e-05,-3.990257027908228e-05,-1.2167240839102125
1654213183.843997,2.3141938072512858e-05,-3.990257027908228e-05,-1.2167218671486435
1654213183.844437,2.3141938072512858e-05,-3.990257027908228e-05,-1.2167214374225153
1654213183.887138,2.3141938072512858e-05,-3.990257027908228e-05,-1.2167230585055901
1654213183.911398,2.3141938072512858e-05,-3.990257027908228e-05,-1.2167261347194949
1654213183.955253,3.19176833727397e-05,-6.364319415297359e-05,-1.2167207439225671
1654213183.999345,2.3141870769904926e-05,-3.990259574493393e-05,-1.216720480148741
1654213184.043329,3.191772339050658e-05,-6.364317960105836e-05,-1.216717237982645
1654213184.087098,2.3141845304053277e-05,-3.9902606658870354e-05,-1.2167184293395115
1654213184.131801,2.3141845304053277e-05,-3.9902606658870354e-05,-1.2167184293395115
1654213184.132209,3.1917803426040336e-05,-6.364315049722791e-05,-1.2167102942334032
1654213184.176096,2.314181074325461e-05,-3.9902617572806776e-05,-1.2167156850302518
1654213184.184078,2.314181074325461e-05,-3.9902617572806776e-05,-1.2167151871735227
1654213184.262437,2.314181074325461e-05,-3.9902617572806776e-05,-1.2167156850302518
1654213184.340062,2.314181074325461e-05,-3.9902617572806776e-05,-1.2167153531257613
1654213184.340494,2.314181074325461e-05,-3.9902617572806776e-05,-1.2167113196379626
1654213184.417851,2.314181074325461e-05,-3.9902617572806776e-05,-1.2167090050548102
