Objects
100
,,Global Angle QBii:QBii,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm
316,0,0.023222,0.005562,0.003885,-995.179932,-99.084618,167.120941
317,0,0.023197,0.005544,0.003815,-995.181091,-99.077827,167.119904
318,0,0.023254,0.005576,0.003886,-995.183105,-99.081680,167.112869
319,0,0.023161,0.005589,0.003889,-995.183289,-99.082573,167.115921
320,0,0.023238,0.005509,0.003898,-995.179504,-99.083885,167.115234
321,0,0.023197,0.005535,0.003840,-995.183472,-99.086746,167.118011
322,0,0.023148,0.005508,0.003814,-995.188416,-99.088364,167.125015
323,0,0.023263,0.005513,0.003871,-995.183594,-99.086311,167.115906
324,0,0.023196,0.005482,0.003835,-995.186462,-99.089249,167.116257
325,0,0.023251,0.005580,0.003836,-995.188599,-99.087318,167.111984
326,0,0.023210,0.005536,0.003844,-995.187012,-99.083702,167.117737
327,0,0.023144,0.005465,0.003914,-995.180603,-99.082710,167.123688
328,0,0.023283,0.005539,0.003833,-995.185181,-99.083153,167.116272
329,0,0.023263,0.005495,0.003850,-995.183289,-99.080200,167.115997
330,0,0.023195,0.005480,0.003833,-995.189026,-99.080139,167.120087
331,0,0.023123,0.005563,0.003866,-995.185730,-99.081863,167.125397
332,0,0.023133,0.005531,0.003924,-995.180237,-99.083763,167.126282
333,0,0.023209,0.005541,0.003861,-995.180542,-99.084358,167.124649
334,0,0.023211,0.005482,0.003799,-995.184753,-99.091415,167.120483
335,0,0.023215,0.005467,0.003849,-995.185730,-99.084396,167.121933
336,0,0.023287,0.005597,0.003867,-995.184753,-99.087288,167.111572
337,0,0.023278,0.005566,0.003837,-995.188354,-99.088104,167.114975
338,0,0.023217,0.005504,0.003837,-995.188049,-99.083939,167.120514
339,0,0.023232,0.005542,0.003785,-995.188965,-99.086662,167.116196
340,0,0.023250,0.005519,0.003864,-995.182373,-99.083931,167.117477
341,0,0.023224,0.005532,0.003894,-995.179199,-99.081703,167.118179
342,0,0.023201,0.005549,0.003814,-995.188293,-99.083679,167.118103
343,0,0.023245,0.005558,0.003810,-995.191833,-99.085800,167.118866
344,0,0.023180,0.005483,0.003826,-995.190491,-99.085655,167.128296
345,0,0.023200,0.005554,0.003851,-995.184143,-99.081474,167.125931
346,0,0.023205,0.005512,0.003864,-995.185669,-99.088226,167.124695
347,0,0.023201,0.005549,0.003819,-995.192566,-99.090462,167.115265
348,0,0.023305,0.005566,0.003874,-995.185059,-99.084312,167.109650
349,0,0.023217,0.005589,0.003805,-995.188477,-99.087326,167.116989
350,0,0.023230,0.005572,0.003828,-995.186523,-99.085052,167.120636
351,0,0.023201,0.005501,0.003866,-995.182861,-99.083809,167.123978
352,0,0.023242,0.005547,0.003839,-995.186707,-99.083527,167.120697
353,0,0.023209,0.005526,0.003855,-995.188843,-99.089043,167.118546
354,0,0.023123,0.005547,0.003867,-995.188171,-99.081169,167.127396
355,0,0.023163,0.005543,0.003809,-995.188354,-99.081757,167.125137
356,0,0.023187,0.005526,0.003894,-995.183899,-99.079948,167.126221
357,0,0.023226,0.005542,0.003869,-995.186096,-99.085052,167.124695
358,0,0.023167,0.005515,0.003863,-995.189697,-99.088181,167.123184
359,0,0.023140,0.005588,0.003837,-995.187927,-99.081390,167.123352
360,0,0.023164,0.005538,0.003862,-995.187317,-99.086189,167.120972
361,0,0.023212,0.005525,0.003818,-995.188416,-99.080345,167.121246
362,0,0.023122,0.005560,0.003855,-995.189453,-99.084312,167.130035
363,0,0.023200,0.005570,0.003870,-995.185852,-99.080864,167.124329
364,0,0.023183,0.005544,0.003835,-995.185486,-99.080711,167.125656
365,0,0.023231,0.005482,0.003866,-995.187378,-99.085083,167.119110
366,0,0.023267,0.005596,0.003816,-995.190002,-99.083946,167.117249
367,0,0.023274,0.005497,0.003845,-995.184570,-99.079216,167.118393
368,0,0.023245,0.005546,0.003864,-995.186279,-99.076096,167.121246
369,0,0.023271,0.005540,0.003850,-995.183594,-99.081444,167.122681
370,0,0.023311,0.005565,0.003862,-995.186279,-99.089821,167.112823
371,0,0.023150,0.005547,0.003811,-995.190857,-99.085205,167.121490
